data;MTOW;OWE
unit;kg;kg
A318;68000;39500
A319;75500;40800
A320;78000;42600
A321;93500;48500
A319neo;75500;42600
A320neo;79000;44300
A321neo;97000;50100
A330-200;233000;120600
A330-300;242000;129400
A330-800neo;251000;132000
A330-900neo;251000;137000
A350-900;280000;142400
A350-1000;316000;155000
A380;575000;270000
747-8;447700;220000
777-200ER;297500;135800
777-300ER;351500;167800
777-9;351500;181400
787-10;254000;135500
787-9;254000;128800
787-8;228000;120000
767-300ER;159000;90000
737 MAX 8;82200;45000
